所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
【0208版本】流程中心,流程列表 数据目录发布流程 验证流程详情页功能正常,无,"1. 选择【数据目录发布流程】记录, 检查详情页及按钮功能
","1. 1) 详情页内容显示正确
2) 返回列表等按钮功能正常
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程列表 主数据识别流程 验证流程详情页功能正常,无,"1. 选择【主数据识别流程】记录, 检查详情页及按钮功能
","1. 1) 详情页内容显示正确
2) 返回列表等按钮功能正常
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程列表 数据源认证流程 验证流程详情页功能正常,无,"1. 选择【数据源认证流程】记录, 检查详情页及按钮功能
","1. 1) 详情页内容显示正确
2) 返回列表等按钮功能正常
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程列表 数据安全定级流程 验证流程详情页功能正常,无,"1. 进入【流程中心-流程列表】页面
2. 选择【数据安全定级流程】记录, 点击流程标题
3. 检查详情页内容
4. 点击返回或关闭按钮
","1. 页面正常加载
2. 成功跳转至流程详情页面
3. 流程详情页面包含三个部分:办理组件、边栏组件、详情本体: 显示基本信息、流程表单、审批记录
4. 成功返回流程列表页面
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 异常场景 验证数据目录发布流程(非直接管理业务对象),1) L3业务对象字段数据完整<br>2) 当前用户不存在未办结的数据目录发布流程<br>3) 存在记录: L2责任人 != 当前用户 and L3清单中存在L3数据责任人 != 当前用户,"1. 点击【发起流程】按钮
2. 点击【确定】
","1. 弹窗二次确认, “存在非直接受您管埋的业务对象，是否确认提交？”
2. 提交成功
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 异常场景 验证数据目录发布流程(重复性校验拦截),1) L3业务对象字段数据完整<br>2) 拥有发起权限且未办结的同流程中，不存在重复L3元素,"1. 点击【发起流程】按钮
","1. Toast提示: 请勿重复提交
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 异常场景 验证数据目录发布流程(完整性校验拦截),拥有发起权限且存在L3业务对象字段数据不完整: 业务对象数据标准责任人工号为空,"1. 进入【数据安全-数据目录发布流程】表单页面
2. 在【认责数据所属L2业务域】中选择L2并加载L3
3. 检查L3业务对象明细列表
4. 检查L3查询结果
5. 为L3填写表单，移除不需要行
6. 点击【发起流程】
","1. 成功进入表单页面
2. 加载成功
3. 列出该L2下所有L3数据责任人 = 当前用户的L3业务对象
4. 1) 查询结果 > 0, L3清单填充该 L2下所有L3
2) 查询结果 = 0, L3清单填充查询结果
5. 配置成功
6. Toast提示: 表单填写校验不通过
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 异常场景 验证数据目录发布流程(未授权访问拦截),无【数据安全定级流程】发起权限,"1. 进入【流程中心-流程发起】页面
2. 点击【数据安全-数据目录发布流程】二级目录
","1. 进入成功
2. Toast提示: 您不是本流程的发起者,无法进入流程配置表单页面
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证无匹配L3可定级拦截,拥有发起权限且当前用户在某L2下并无作为"数据标准责任人"的L3节点,"1. 进入【数据安全-数据目录发布流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点
","1. 成功进入表单页面
2. 1) Toast提示: 无您可定级数据
2) 系统不生成对应的L3明细表单,L3明细列表为空
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证已办结流程可重复发起,拥有【数据安全定级流程】发起权限且存在已办结的数据安全定级流程,"1. 进入【数据安全-数据目录发布流程】表单页面
2. 选择与已办结流程相同的L2节点并加载L3
3. 点击【发起流程】
4. 查看流程列表
","1. 成功进入表单页面
2. 加载成功
3. 流程发起成功
4. 流程列表中新增一条流程记录,与之前的已办结流程独立,互不影响,业务流水号不同
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证表单字段回显完整性,无,"1. 进入【数据安全-数据目录发布流程】表单页面
2. 在【认责数据所属L2业务域】中选择一个L2节点并加载L3
3. 检查L3明细列表回显的字段信息
","1. 成功进入表单页面
2. 加载成功
3. L3字段正确回显
",,2,功能测试,功能测试阶段
【0208版本】流程中心,流程发起 数据目录发布流程 验证备注选项,无,"1. 进入【数据架构-数据目录发布流程】表单页面
2. 在目录发布信息备注字段输入超过2000位的文本, 点击【发起流程】
3. 修改目录发布信息备注为2000位以内的文本, 点击【发起流程】
","1. 成功进入表单页面
2. 必填提示
3. 流程发起成功
",,2,功能测试,功能测试阶段
