"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"170800","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","规则集 验证历史规则集实例生成调度周期正确","1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 选择某一历史规则集，点击【…-编辑】
2. 查看页面
3. 点击【调度周期】下拉框
4. 不改变内容，在配置时间后查看实例生成状态","1. 进入该数据的调度属性页面
2. 显示已配置的信息
3. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
4. 成功在配置时间后生成并运行，校验详情正确","1. 
2. 
3. 
4.","","3","功能测试","功能测试阶段","正常","0","1","4","通过","听筠","2025-12-15","","0000-00-00","1","",""
"170799","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","规则集 验证编辑规则集调度周期设置为cron表达式功能正确","1.数据质量-规则任务配置页面已打开
2.页面存在规则集调度周期为 cron表达式","1. 点击某一规则集名称
2. 点击该规则集右上角【…】图标
3. 点击【编辑】按钮
4. 点击【下一步】按钮
5. 点击【调度周期】下拉框
6. 选择调度周期为 cron表达式
7. 输入5个表达式：（若当前时间为2025-12-05 09:00:00）
2025-12-05 09:10:00
2025-12-05 09:20:00
2025-12-05 09:30:00
2025-12-05 09:40:00
2025-12-05 09:50:00
点击【预览】按钮
8. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
9. 点击【完成】按钮
10. 立即查看该规则集生成实例状态
11. 第二天09:10:00后查看实例生成和运行状态
12. 第二天09:20:00后查看实例生成和运行状态
13. 第二天09:30:00后查看实例生成和运行状态
14. 第二天09:40:00后查看实例生成和运行状态
15. 第二天09:50:00后查看实例生成和运行状态","1. 展开该规则集的详情，内容正确
2. 展示【立即执行】、【编辑】、【删除】按钮
3. 进入【编辑规则集-规则内容】页面，正确展示已导入的规则
4. 进入【编辑规则集-调度配置】页面
5. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
6. 下方弹出表达式填写框
7. 输入成功，预览正确
8. 成功配置
9. 修改监控规则集成功
10. 未立即生成
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
12. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
13. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
14. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
15. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15.","","2","功能测试","功能测试阶段","正常","0","0","15","","听筠","2025-12-15","","0000-00-00","1","",""
"170798","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","规则集 验证设置cron表达式后编辑回填正确","1.已进入【数据质量-规则任务配置】页面
2.页面存在规则集调度周期为 cron表达式","1. 点击某一规则集名称
2. 点击该规则集右上角【…】图标
3. 点击【编辑】按钮
4. 点击【下一步】按钮
5. 查看页面详情
6. 查看【调度周期】处内容
7. 点击【预览】按钮","1. 展开该规则集的详情，内容正确
2. 展示【立即执行】、【编辑】、【删除】按钮
3. 进入【编辑规则集-规则内容】页面，正确展示已导入的规则
4. 进入【编辑规则集-调度配置】页面
5. 已配置的信息回填正确
6. 显示为 cron表达式，下方显示Cron表达式输入框；
尾部显示【预览】按钮
7. 弹出预览弹窗，正确显示已设置的日期","1. 
2. 
3. 
4. 
5. 
6. 
7.","","3","功能测试","功能测试阶段","正常","0","1","7","通过","听筠","2025-12-15","","0000-00-00","1","",""
"170797","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","规则集 验证新建规则集调度周期设置为cron表达式功能正确","1.数据质量-规则任务配置页面已打开
2.本地已存在内容正确的规则集可导入文件","1. 1）点击新建规则集，进入新建规则集-基础信息配置页面
2）正确配置基础信息，点击下一步，进入规则内容配置页面
3）正确导入规则文件，显示规则内容，点击下一步进入调度配置页面
2. 点击【调度周期】下拉框
3. 选择 cron表达式
4. 输入表达式：（若当前时间为2025-12-04）
0 0 10,14,16 * * ? 
点击【预览】按钮
5. 生效日期默认为2025-12-04-2125-12-04，正确配置其他属性
6. 点击【完成】按钮
7. 立即查看该规则集生成实例状态
8. 第二天10:00:00后查看实例生成和运行状态
9. 第二天14:00:00后查看实例生成和运行状态
10. 第二天16:00:00后查看实例生成和运行状态
11. 第二天17:00:00后查看实例生成和运行状态","1. 配置完成，调度配置页面正常打开
2. 包含选项 cron表达式
3. 下方弹出填写框
4. 输入成功，预览正确；
数据展示第二天开始每天10点、14点、16点执行
5. 成功配置
6. 新建监控规则集成功
7. 未立即生成
8. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
11. 未重新生成实例","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 未按时生成实例
9. 
10. 
11.","","2","功能测试","功能测试阶段","正常","1","1","11","失败","听筠","2025-12-15","听筠","2025-12-23","2","",""
"170796","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","多表校验 验证历史多表校验实例生成调度周期正确","1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 选择某一历史多表对比，点击【编辑调度属性】
2. 查看页面
3. 点击【调度周期】下拉框
4. 不改变内容，在配置时间后查看实例生成状态","1. 进入该数据的调度属性页面
2. 显示已配置的信息
3. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
4. 成功在配置时间后生成并运行，校验详情正确","1. 
2. 
3. 
4.","","3","功能测试","功能测试阶段","正常","0","1","4","通过","听筠","2025-12-15","","0000-00-00","1","",""
"170795","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","多表校验 验证编辑多表校验调度周期设置为cron表达式功能正确","1.已进入【数据质量-规则任务配置】页面
2.页面存在多表比对规则","1. 点击某一多表比对规则名称
2. 点击【编辑调度属性】按钮
3. 点击【调度周期】下拉框
4. 选择调度周期为 cron表达式
5. 	
输入表达式：（若当前时间为2025-12-05）
0 15 08 * * ? 
点击【预览】按钮
6. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
7. 点击【保存】按钮
8. 立即查看该规则生成实例状态
9. 第二天08:15:00后查看实例生成和运行状态
10. 第二天12:00:00查看实例生成和运行状态
11. 第三天08:15:00后查看实例生成和运行状态","1. 展开该规则的详情
2. 弹出【编辑调度属性】弹窗
3. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
4. 下方弹出表达式填写框
5. 输入成功；
预览结果为从第二天开始每天08:15:00执行，共10条数据
6. 成功配置
7. 修改监控规则成功
8. 未立即生成
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
10. 只在08:15:00生成一条实例，未重新生成
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11.","","1","功能测试","功能测试阶段","正常","0","2","11","通过","听筠","2025-12-15","听筠","2025-12-22","2","",""
"170794","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","多表校验 验证设置cron表达式后编辑回填正确","1.已进入【数据质量-规则任务配置】页面
2.页面存在多表比对规则调度周期为 cron表达式","1. 点击某一多表比对规则名称
2. 点击【编辑调度属性】按钮
3. 查看弹窗详情
4. 查看【调度周期】处内容
5. 点击【预览】按钮","1. 展开该规则的详情，内容正确
2. 弹出【编辑调度属性】弹窗
3. 已配置的信息回填正确
4. 显示为 cron表达式，下方显示Cron表达式输入框；
尾部显示【预览】按钮
5. 弹出预览弹窗，正确显示已设置的日期","1. 
2. 
3. 
4. 
5.","","3","功能测试","功能测试阶段","正常","0","1","5","通过","听筠","2025-12-15","","0000-00-00","1","",""
"170793","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","多表校验 验证新建多表校验调度周期设置为cron表达式功能正确","已进入【数据质量-规则任务配置】页面","1. 1）点击新建监控规则，选择多表比对规则，进入新建多表比对规则-选择对比表页面；
2）正确配置对比表信息，点击下一步，进入选择字段页面；
3）正确选择字段，配置对比规则；
4）点击下一步进入执行配置页面
2. 点击【调度周期】下拉框
3. 选择 cron表达式
4. 输入表达式：（若当前时间为2025-12-04）
0 0/10 * * * ?
点击【预览】按钮
5. 生效日期默认为2025-12-04-2125-12-04，正确配置其他属性
6. 点击【新建】按钮
7. 立即查看该规则生成实例状态
8. 第二天10:10:00后查看实例生成和运行状态
9. 第二天10:20:00后查看实例生成和运行状态
10. 第二天10:30:00后查看实例生成和运行状态
11. 第二天10:40:00后查看实例生成和运行状态
12. 第二天10:50:00后查看实例生成和运行状态
13. 第二天11:00:00后查看实例生成和运行状态","1. 配置完成，执行配置页面正常打开
2. 包含选项 cron表达式
3. 下方弹出填写框
4. 输入成功
预览显示从第二天开始每天十点钟内间隔十分钟执行一次，共10条数据
5. 成功配置
6. 新建监控规则成功
7. 未立即生成
8. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
10. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
12. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
13. 未生成实例","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13.","","1","功能测试","功能测试阶段","正常","0","3","13","通过","听筠","2025-12-15","听筠","2025-12-23","2","",""
"170792","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","单表校验 验证历史单表校验实例生成调度周期正确","1.已进入【数据质量-规则任务配置】页面
2.存在历史数据","1. 选择某一历史单表校验，点击【编辑调度属性】
2. 查看页面
3. 点击【调度周期】下拉框
4. 不改变内容，在配置时间后查看实例生成状态","1. 进入该数据的调度属性页面
2. 显示已配置的信息
3. 包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
4. 成功在配置时间后生成并运行，校验详情正确","1. 
2. 
3. 
4.","","3","功能测试","功能测试阶段","正常","0","1","4","通过","听筠","2025-12-15","","0000-00-00","1","",""
"170791","数据资产_STD(#23)","/版本迭代测试用例/v6.4.6/【数据质量】支持cron表达式设置调度周期(#9785)","【数据质量】调度支持设置cron表达式(#15201)","单表校验 验证编辑单表校验调度周期设置为cron表达式功能正确","1.已进入【数据质量-规则任务配置】页面
2.页面存在单表校验规则","1. 点击某一单表校验规则名称
2. 点击【编辑调度属性】按钮
3. 点击【调度周期】下拉框
4. 选择调度周期为 cron表达式
5. 输入表达式：（若当前时间为2025-12-05）
0 15 08 * * ? 
点击【预览】按钮
6. 生效日期默认为2025-12-05-2125-12-05，正确配置其他属性
7. 点击【保存】按钮
8. 立即查看该规则生成实例状态
9. 第二天08:15:00后查看实例生成和运行状态
10. 第二天12:00:00查看实例生成和运行状态
11. 第三天08:15:00后查看实例生成和运行状态","1. 展开该规则的详情
2. 弹出【编辑调度属性】弹窗
3. 新增cron表达式下拉项；
包含：小时、天、周、月、自定义调度日期、手动触发、自动关联离线任务周期、cron表达式；
已选项高亮显示
4. 下方弹出表达式填写框
5. 输入成功；
预览结果为从第二天开始每天08:15:00执行，共10条数据
6. 成功配置
7. 修改监控规则成功
8. 未立即生成
9. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确
10. 只在08:15:00生成一条实例，未重新生成
11. 1）实例成功生成并运行
2）校验结果符合预期
3）质量报告生成成功,内容正确","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11.","","1","功能测试","功能测试阶段","正常","1","4","11","通过","听筠","2025-12-15","听筠","2025-12-22","2","",""
