"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"151493","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L5内置属性调整正确","sparkThrift、Mysql、 HIve2.x数据源","1. 进入资产-【元数据】-字段元数据页面
2. 是否应有业务规则
3. 核心属性
4. 是否已制定数据标准
5. 应遵循的数据标准名称","1. 进入成功
2. 新增，枚举类型
3. 新增，枚举类型
4. 新增，枚举类型
5. 删除","1. 
2. 
3. 
4. 
5.","","2","功能测试","功能测试阶段","正常","0","1","5","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151492","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L4内置属性调整正确","sparkThrift、Mysql、 HIve2.x数据源","1. 进入资产-【元数据】-表元数据页面
2. 逻辑实体责任公司
3. 逻辑实体责任部门
4. 数据管家
5. 来源业务系统
6. 逻辑实体中文名","1. 进入成功
2. 变更为“逻辑实体责任公司名称”
3. 变更为“逻辑实体责任部门名称”
4. 删除
5. 删除
6. 删除","1. 
2. 
3. 
4. 
5. 
6.","","2","功能测试","功能测试阶段","正常","0","1","6","失败","旺仔","2025-06-10","","0000-00-00","1","",""
"151491","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证【数据标准】支持选择导出1级目录下的所有三级目录","无","1. 进入资产【数据标准】页面
2. 点击导出目录
3. 选择【全部】按钮，点击导出
4. 选择L1_01,点击导出","1. 进入成功
2. 弹目录选择框如下层级全部L1	L2	   L2_1		L3_01 	L3_02
3. 导出所有L3目录
4. 导出所有L1_01下的L3目录","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151490","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L1-L3导出表格“公司编码““部门编码”改名","无","1. 进入资产【元数据】页面
2. 进入【目录管理】，点击导出L1-L3","1. 进入成功
2. L1-L3sheet页“公司编码““部门编码”改名为“公司名称” “部门名称“，L1-L3所有属性均导出","1. 
2.","","3","功能测试","功能测试阶段","正常","0","1","2","通过","旺仔","2025-06-10","","0000-00-00","1","",""
"151489","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L3属性变更后，平台均变更同步","无","1. 进入资产-【元数据】-【数据目录】页面
2. 选择【属性管理】-业务对象属性L3
3. 编辑所有L3属性中文名，后缀以“_测试“结尾
4. 编辑所有L3属性类型为【必填】
5. 进入【属性管理】-【目录管理】页面
6. 点击【新家目录】
7. 【目录中文名称】： 测试【目录英文名称】： test【数据负责人】: xx【所属公司】： xx【所属部门】: xx 【业务定义】： desc..
8. 进入数据地图页面查看L3属性
9. 导出L3
10. 点击导入L3，下载L3模板
11. 输入必填信息，导入","1. 进入成功
2. 进入L3 属性页面成功
3. 编辑成功
4. 编辑成功
5. 进入成功
6. 进入新建目录页面
7. L13 属性名称变更为更新后的，新增L3目录成功
8. 数据地图及表详情属性名均更新正确
9. 表格内L3属性名称展示正确
10. 模板内L3属性展示正确
11. L3导入成功","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11.","","2","功能测试","功能测试阶段","正常","0","1","11","失败","旺仔","2025-06-10","","0000-00-00","1","",""
"151488","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L2属性变更后，平台均变更同步","无","1. 进入资产-【元数据】-【数据目录】页面
2. 选择【属性管理】-主题域属性L2
3. 编辑所有L2属性中文名，后缀以“_测试“结尾
4. 编辑所有L2属性类型为【必填】
5. 进入【属性管理】-【目录管理】页面
6. 点击【新家目录】
7. 【目录中文名称】： 测试【目录英文名称】： test【数据负责人】: xx【所属公司】： xx【所属部门】: xx 【业务定义】： desc..
8. 进入数据地图页面查看L2属性
9. 导出L2
10. 点击导入L2，下载L2模板
11. 输入必填信息，导入","1. 进入成功
2. 进入L2属性页面成功
3. 编辑成功
4. 编辑成功
5. 进入成功
6. 进入新建目录页面
7. L2 属性名称变更为更新后的，新增L1目录成功
8. 数据地图及表详情属性名均更新正确
9. 表格内L2属性名称展示正确
10. 模板内L2属性展示正确
11. L2导入成功","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11.","","2","功能测试","功能测试阶段","正常","0","2","11","失败","旺仔","2025-06-10","","0000-00-00","1","",""
"151487","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/L1-L5内置属性逻辑优化(#8898)","","验证L1属性变更后，平台均变更同步","无","1. 进入资产-【元数据】-【数据目录】页面
2. 选择【属性管理】-业务域属性L1
3. 编辑所有L1属性中文名，后缀以“_测试“结尾
4. 编辑所有L1属性类型为【必填】
5. 进入【属性管理】-【目录管理】页面
6. 点击【新家目录】
7. 【目录中文名称】： 测试【目录英文名称】： test【数据负责人】: xx【所属公司】： xx【所属部门】: xx 【业务定义】： desc..
8. 进入数据地图页面查看L1属性
9. 导出L1
10. 点击导入L1，下载L1模板
11. 输入必填信息，导入","1. 进入成功
2. 进入L1 属性页面成功
3. 编辑成功
4. 编辑成功
5. 进入成功
6. 进入新建目录页面
7. L1 属性名称变更为更新后的，新增L1目录成功
8. 数据地图及表详情属性名均更新正确
9. 表格内L1属性名称展示正确
10. 模板内L1属性展示正确
11. L1导入成功","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11.","","1","功能测试","功能测试阶段","正常","0","1","11","失败","旺仔","2025-06-10","","0000-00-00","1","",""
"151231","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","【数据地图】【华泰期货】支持inceptor存储过程血缘解析(#13968)","验证inceptor客户sql血缘解析功能正常","客户demo sql已提交","1. 1. 离线平台新增inceptor sql 2. 执行前提条件内的sql3. 进入资产查看result/source表血缘，字段血缘","1. 正常展示source/result表上下游血缘关系","1.","","1","功能测试","功能测试阶段","正常","0","2","1","失败","旺仔","2025-06-04","可颂","2025-06-17","1","",""
"151230","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证inceptor存储过程create select 血缘解析功能正常","create table if not exists source(id int,name varchar(255));

create or replace PROCEDURE procedure1() is
begin
EXECUTE IMMEDIATE (&#039;create table result as select * from source&#039;);
END ;

call procedure1(&#039;test&#039;);","1. 1. 离线平台新增inceptor sql 2. 执行前提条件内的sql3. 进入资产查看result/source表血缘，字段血缘","1. 正常展示source/result表上下游血缘关系","1.","","1","功能测试","功能测试阶段","正常","0","2","1","失败","旺仔","2025-06-04","","0000-00-00","1","",""
"151229","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证inceptor存储过程insert select 血缘解析功能正常","create table  if not exists source(id int,name varchar(255));

create table if not exists result(id int,name varchar(255));

create or replace PROCEDURE procedure_1(id int) IS
begin
insert INTO result select * from source;
END ;

call maoyan_procedure_1(1);","1. 1. 离线平台新增inceptor sql 2. 执行前提条件内的sql3. 进入资产查看result/source表血缘，字段血缘","1. 正常展示source/result表上下游血缘关系","1.","","1","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
"151228","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证inceptor普通create select血缘解析功能正常","create table  if not exists source(id int,name varchar(255));

create table result  as select * from source;","1. 1. 离线平台新增inceptor sql 2. 执行前提条件内的sql3. 进入资产查看result/source表血缘，字段血缘","1. 正常展示source/result表上下游血缘关系","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
"151227","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证inceptor普通insert select血缘解析功能正常","create table  if not exists result(id int,name varchar(255));

create table  if not exists source(id int,name varchar(255));

insert into result select * from source;","1. 1. 离线平台新增inceptor sql 2. 执行前提条件内的sql3. 进入资产查看result/source表血缘，字段血缘","1. 正常展示source/result表上下游血缘关系","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
"151226","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证inceptor视图表详情展示正确","数据地图存在inceptor视图表A","1. 1. 进入数据地图2. 选择表A，进入详情查看","1. 1. 数据地图筛选需选到“视图”类型2. 数据地图页面展示表类型为“视图”3. 数据表详情内类型展示为“视图”","1.","","2","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
"151225","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证元模型管理-inceptor数据源新增技术属性","无","1. 1. 进入元数据-元模型管理页面2. 选择inceptor数据源，进入详情页3. 查看技术属性","1. 新增view_description(视图特有)属性（varchar）","1.","","3","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
"151224","数据资产_STD(#23)","/版本迭代测试用例/v6.3.3/inceptor支持存储过程血缘解析(#8846)","","验证视图表标签展示正常","无","1. 1. 进入元数据同步页面2. 新增元数据同步任务3. 选择数据源A-数据库a4. 查看视图表标签","1. 视图表均有视图标签","1.","","3","功能测试","功能测试阶段","正常","0","1","1","通过","旺仔","2025-06-04","","0000-00-00","1","",""
