用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
168235,验证 指标共享后，指标级授权不影响指标定义-共享指标 功能,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),"<p>1、admin账号在<span style=“background-color:#FFFFFF;“>目录a下创建派生指标a已发布且共享给所有项目</span></p>
<p><span style=“background-color:#FFFFFF;“>2、用户组1下存在用户1，用户1关联自定义角色：角色a</span></p>
<p><span style=“background-color:#FFFFFF;“>3、角色a具有指标定义-查看、管理所有指标权限，无其他指标定义权限点下权限 </span></p>
<p><span style=“background-color:#FFFFFF;“>4、用户组1、用户1均无目录a查看权限</span></p>
<p><span style=“background-color:#FFFFFF;“><br /></span></p>","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
3. admin账号取消角色a管理所有指标权限，使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
4. admin账号取消指标a的共享，使用用户1登录指标平台，进入指标a的共享项目，进入指标中心-指标定义-共享指标页面
5. admin赋予角色a管理所有指标权限，将指标a共享给项目a,使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
6. admin取消角色a管理所有指标权限，选中指标a授予用户1可查看权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
7. admin选中指标a授予用户1可编辑权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面
8. admin选中指标a移除用户1可编辑权限，使用用户1登录共享项目，进入指标中心-指标定义-共享指标页面","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 指标a相关数据展示
3. 指标a相关数据展示
4. 指标a相关数据不展示
5. 指标a相关数据展示
6. 指标a相关数据展示
7. 指标a相关数据展示
8. 指标a相关数据展示",3,功能测试
162598,验证 授权、管理所有指标 权限点展示,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin账号，登录进入数栈，点击右上角设置-角色管理-智能指标，查看权限点
3. 进入指标平台某个项目，切换到项目管理-角色管理页面","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 指标管理分析-指标中心-指标定义下，新增权限点：“授权“、”管理所有指标“
3. 指标管理分析-指标中心-指标定义下，新增权限点：“授权“、”管理所有指标“",3,功能测试
162597,验证权限管控,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. admin
3. 租户所有者
4. 租户管理者
5. 项目所有者
6. 项目管理员
7. 数据开发
8. 运营人员
9. 访客
10. 自定义角色","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 管理所有指标、授权 默认有权限
3. 管理所有指标、授权 默认有权限
4. 管理所有指标、授权 默认有权限
5. 管理所有指标、授权 默认有权限
6. 管理所有指标、授权 默认有权限
7. 管理所有指标、授权 默认 无 权限
8. 管理所有指标、授权 默认 无 权限
9. 管理所有指标、授权 默认 无 权限
10. 管理所有指标、授权 默认 无 权限",2,功能测试
162596,验证 编辑 授权、管理所有指标 权限点功能,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin创建自定义角色a，查看设置初始权限点列表
3. 勾选其他权限点后点保存
4. 进入指标平台某个项目，切换到项目管理-角色管理页面，查看角色a权限点
5. 点击右上角设置-角色管理-智能指标，编辑角色a权限,勾选指标定义-授权、管理所有指标权限
6. 进入指标平台某个项目，切换到项目管理-角色管理页面，查看角色a权限点","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 指标定义-授权、管理所有指标默认不勾选
3. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
4. 指标定义-授权、管理所有指标权限点不被勾选
5. 系统提示修改成功，页面显示修改后的最新内容
6. 指标定义-授权、管理所有指标权限点正确勾选",2,功能测试
162595,验证 指标授权按钮显示条件,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 无指标定义-授权 权限的用户
3. 有指标定义-授权 权限的用户","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 指标授权按钮不可见
3. 指标授权按钮可见、可操作",2,功能测试
162594,验证 管理所有指标 权限功能,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),"1.项目a的目录a下存在派生指标a
2.存在用户a，关联角色a:有 指标定义-查看、管理所有指标权限，无指标定义权限点下其他权限
3.用户a/角色a 无任何指标级授权-查看/编辑权限以及任何指标目录级授权-查看权限","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 用户a登录指标平台，进入项目a，切换到指标中心-指标开发-指标定义页面
3. 切换到指标市场
4. 切换到指标应用/智能分析，查看所有指标列表/指标检索
5. 为角色a增加指标定义-新增/编辑、发布/下线、删除权限
6. 取消角色a的管理所有指标权限，指标a授权给用户a查看权限
7. 切换到指标市场
8. 切换到指标应用/智能分析，查看所有指标列表/指标检索
9. 目录a授权给用户a-查看/编辑权限，指标a授权给用户a编辑权限,授予角色a指标定义-新增/编辑、发布、下线、删除权限","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 可查看所有目录下的所有指标，新增指标、指标操作按钮不可见
3. 可查看指标的相应记录、相应数据、详情中血缘的相应指标框。结果查询按钮可操作
4. 可查看指标相应记录、相应数据
5. 可/编辑/发布/下线/删除所有目录下的所有指标
6. 仅可查看指标a相应记录，不可新增指标、查看其他所有指标
7. 可查看指标的相应记录、相应数据、详情中血缘的相应指标框。仅指标a的结果查询按钮可见可操作
8. 仅可查看指标a相应记录、相应数据
9. 可：新增指标，查看目录a下所有指标，编辑、发布、下线、删除指标a
不可：操作目录a下其他指标、查看其他目录下指标",1,功能测试
162593,验证指标 授权 面板展示,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),admin创建派生指标a已授权给用户1、角色1、用户组1可查看权限,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，查看指标列表的操作列
3. 选中指标a，点击授权，查看授权面板
4. 点击用户1权限枚举项下拉按钮查看枚举项展示
5. 点击用户组1权限枚举项下拉按钮查看枚举项展示
6. 点击角色1权限枚举项下拉按钮查看枚举项展示
7. 打开全员公开按钮，查看枚举项
8. 点击枚举项下拉按钮查看枚举项展示","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 新增 授权 操作按钮
3. 初始化页面展示：授权，指定人及权限，添加指定人按钮，搜索框（placeholder内容：搜索指定人），用户数，用户组数，角色数，创建人（默认填充该指标创建人，直接赋予可编辑权限，不可修改）,已授权指定人列表，全员公开按钮（默认关闭），X
4. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
5. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
6. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标
移除权限
7. 枚举项默认：可查看
8. 可查看：可查看指标及其数据
可编辑：可查看指标及其数据
可发布/下线/编辑/删除指标",3,功能测试
162592,验证 授权面板搜索框功能,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标点击授权
3. 点击搜索框，根据指定人名称精确搜索
4. 根据指定人名称模糊搜索","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 页面数据正确展示
3. 展示正确筛选结果
4. 展示正确筛选结果",3,功能测试
162591,验证添加指定人页面展示,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标，点击授权，点击添加指定人，查看页面展示","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 标题：添加指定人，按用户选择，按用户组选择，按角色选择，指定人及权限列表：placeholder内容：请从左侧面板中选择添加指定人，确定，取消/X
默认选中按用户选择tab页，展示当前项目下所有用户列表。搜索框placeholder内容：搜索",3,功能测试
162590,验证按用户组选择页面展示,/迭代版本测试用例/V6.4.2/指标级权限管控（厦门国贸）(#9409),指标级权限管控(#15049),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 使用admin账号，登录指标平台，进入某个项目，切换到指标中心-指标开发-指标定义页面，选中某个指标，点击授权，点击添加指定人，点击按用户组选择，查看页面展示","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 用户组列表枚举项：当前项目下的所有用户组，取消/X，确定。右侧默认提示文案:请从左侧面板中选择添加指定人，搜索框placeholder内容：搜索",3,功能测试
