用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
162138,验证历史数据的维度属性支持定义生效范围功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"存在历史维度对象：订单1，维度属性：订单id,属性标识：order_id,维表选择：internal.v460_ye.order1,字段：order_id","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-数据管理-维度管理页面
3. 点击订单1
4. 点击编辑订单id
5. 修改维度适用范围为仅开发层，点击保存","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 展示维度对象
3. 展示维度属性列表，列表新增字段：维度适用范围，枚举值均为全局
4. 跳转到编辑维度属性页面，页面展示新增：*维度适用范围，枚举值：仅开发层，全局
默认勾选全局
5. 保存成功，返回维度属性列表，列表字段同步更新",3,功能测试
162137,验证手动新增维度属性支持定义生效范围功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),存在维度对象：用户行为、订单,"1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-数据管理-维度管理页面,点击用户行为，点击新增维度属性-手动新增
3. 输入基本信息，维度生效范围改为仅开发层，点击保存
4. 切换到指标中心-数据管理-维度管理页面,点击订单，点击新增维度属性-手动新增
5. 输入基本信息，点击保存","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 维度生效范围默认勾选全局
3. 新增成功，跳转回维度属性页
4. 维度生效范围默认勾选全局
5. 新增成功，跳转回维度属性页",1,功能测试
162136,验证基于表新增维度属性支持定义生效范围功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1、存在维度对象：用户行为，对应存在维表 internal.v460_ye.user_actions,维度字段：user_id,order_date,page_id,action_type,device_id,action_count,duration
2、存在维度对象：订单，对应维表 internal.v460_ye.orders,维度字段：user_id,order_date,product_id,supplier_id,region_cod,amount,quantity","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-数据管理-维度管理页面,点击用户行为，点击新增维度属性-基于表新增，选择对应维表
3. 更改user_id维度生效范围为仅开发层，勾选正确字段，点击保存
4. 切换到指标中心-数据管理-维度管理页面,点击订单，点击新增维度属性-基于表新增，选择对应维表
5. 勾选正确字段，点击保存","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 弹出维度属性设置列表，维度生效范围单配置，默认勾选全局
3. 新增成功，跳转回维度属性页
4. 弹出维度属性设置列表，维度生效范围单配置，默认勾选全局
5. 新增成功，跳转回维度属性页",1,功能测试
162135,验证新增定义生效范围的维度属性在 指标市场 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标市场-共享市场页面，查看ps指标维度支持列
3. 切换到指标市场-项目市场页面，查看ps指标维度支持列
4. 点击ps指标的”结果查询”按钮，点击聚合维度
5. 关闭查询弹窗，点击ps指标的名称，查看指标详情-基本属性-技术信息-维度支持
6. 查看指标结果表
7. 切换到指标详情-血缘关系，点击查看指标详情，查看维度支持列","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 维度支持列展示:用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
3. 维度支持列展示:用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
4. 维度展示：用户行为/行为类型,用户行为/操作类型
聚合维度1（用户行为/用户id、用户行为/订单日期,用户行为/行为次数）包含用户id，不展示
5. 展示：用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
6. 展示物理表lb_ps_02基本信息
聚合维度1（用户行为/用户id、用户行为/订单日期,用户行为/行为次数）包含用户id，不展示对应表lb_ps_01
7. 展示：用户行为/行为类型,用户行为/操作类型；
聚合维度1（用户行为/用户id、用户行为/订单日期,用户行为/行为次数）包含用户id，不展示",2,功能测试
162134,验证新增定义生效范围的维度属性在 自助取数-数据查询 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-自助取数-数据查询页面
3. 鼠标悬停在左侧指标列表的ps指标上查看悬浮窗的维度支持列
4. 选择维度处点击维度对象“用户行为”
5. 勾选ps指标，点击添加筛选条件-维度列-用户行为","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 数据查询页面展示正确，内容与预期完全一致，无异常或错误
3. 展示：用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
4. 展示维度属性：订单日期、行为类型、操作类型，行为次数，行为时长
5. 展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id",2,功能测试
162133,验证新增定义生效范围的维度属性在 指标分析 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-指标分析页面
3. 引入ps指标，点击指标看板
4. 点击分析维度","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 页面显示暂无数据
3. 跳转指标数据分析页面
4. 查看用户行为列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id",2,功能测试
162132,验证新增定义生效范围的维度属性在 指标看板 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-指标分析页面
3. 点击新增看板，选择组件样式为柱状图/折线图/饼图，选择统计指标为ps，点击选择统计维度-用户行为
4. 点击添加条件-选择值域-维度列-用户行为
5. 切换为指标卡，选中指标ps，打开异常波动监听，点击更新，点击右侧指标卡的正常/异常波动，点击分析维度-用户行为
6. 点击保存并退出
7. 查看看板1详情，点击指标卡的正常/异常波动，点击选择分析维度-用户行为
8. 点击编辑看板，点击指标卡的正常/异常波动，点击选择分析维度-用户行为
9. 切换组件样式为柱状图/折线图/饼图，选择统计指标为ps，点击选择统计维度-用户行为
10. 点击保存并退出","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 页面显示暂无数据
3. 用户行为维度属性列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
4. 展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
5. 用户行为维度属性列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
6. 跳转回看板列表页
7. 用户行为属性列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
8. 用户行为列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
9. 用户行为列展示：订单日期、行为类型、操作类型，行为次数
不展示：用户id
10. 跳转回看板列表页",2,功能测试
162131,验证新增定义生效范围的维度属性在 指标树 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-指标树页面
3. 引入ps指标，点击按维度拆分-维度选择","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 页面显示暂无数据
3. 展示：用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id",2,功能测试
162130,验证新增定义生效范围的维度属性在 目标管理 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-目标管理页面
3. 点击“新增目标”-“选择指标”，选择ps,点击新增维度拆解目标-选择维值","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 页面显示暂无数据
3. 查看维度目录下用户行为列展示：订单日期,行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id",2,功能测试
162129,验证新增定义生效范围的维度属性在 API服务-API管理 页面不展示相应维度功能,/迭代版本测试用例/V6.4.1-银联云/维度属性支持定义生效范围(#9380),维度属性支持定义生效范围(#14943),"1.存在新增维度对象“用户行为”，对应新增维度属性：“用户id”、“订单日期”、“行为类型”、“操作类型”“行为次数”，“行为时长”其中“用户id”维度属性适用范围为仅开发层，其余均为全局。
2.存在落表查询派生指标“ps”，该指标已被共享给所有用户，聚合维度1：用户行为/用户id、用户行为/订单日期,用户行为/行为次数，物理表名lb_ps_01；聚合维度2：用户行为/行为类型,用户行为/操作类型,物理表名lb_ps_02；","1. 进入【迭代版本测试用例】-【V6.4.1】页面
2. 登录指标平台，进入具体项目下，切换到指标应用-API服务-API管理页面，
3. 点击新增API，输入信息，点击下一步
4. 鼠标悬停在左侧指标列表的ps指标上查看悬浮窗的维度支持列
5. 勾选ps
6. 查看ps指标详情-维度支持
7. 查看下方维度选择列","1. 成功进入【迭代版本测试用例】-【V6.4.1】页面，页面内容正常加载显示，无报错
2. 页面显示暂无数据
3. 跳转到选择指标页面
4. 展示：用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
5. 右侧已选指标列表更新
6. 展示：用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id
7. 展示：业务日期，用户行为/订单日期,用户行为/行为次数,用户行为/行为类型,用户行为/操作类型；
不展示：用户行为/用户id",2,功能测试
