用例编号,用例标题,所属模块,相关需求,前置条件,步骤,预期结果,优先级,用例类型
161973,验证历史自定义指标,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，查看特征类型
3. 选择自定义指标，点击编辑按钮
4. 编辑SQL步骤，点击下一步
5. 查看指标列字段类型
6. 点击下一步
7. 查看特征类型
8. 保存并发布自定义指标","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 展示指标
3. 进入自定义指标编辑页面
4. 跳转到设置维度信息页面
5. 展示：指标列(指标)，字段类型枚举值选择增加：指标列（标签）
6. 跳转到设置指标信息页面
7. 展示指标
8. 系统提示发布成功，发布状态更新，相关页面可访问",1,功能测试
161972,验证资产平台指标历史数据,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),1、资产平台-数据地图中存在指标历史数据，包括原子指标、派生指标、复合指标、自定义指标,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标
3. 点击指标名称，查看任务详情
4. 根据特征类型过滤指标结果
5. 特征类型字段与其他筛选项（指标类型/标签/发布人）组合筛选","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 筛选框增加特征类型选择，枚举值：指标、标签
列表中的历史指标数据特征类型展示：指标
3. 指标信息中在指标别名后增加特征类型字段，展示：指标
4. 结果正确，内容与预期完全一致，无异常或错误
5. 筛选结果正确，内容与预期完全一致，无异常或错误",1,功能测试
161971,验证编辑历史自定义指标-修改字段类型,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、存在历史自定义指标：history_自定义
指标列字段：index_01
维度列字段：d1（用户/年龄）（varchar类型）、d2（用户/性别）、d3（用户/消费城市）","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：history_自定义，点击编辑按钮
3. 编辑SQL步骤，点击下一步
4. 编辑字段：index_01 -字段类型：指标列（指标）切换到指标列（标签）
5. 编辑字段：d1-字段类型：维度列切换到：指标列（标签）
6. 字段：d1 设置指标对接信息：新指标，字段名称：new_自定义_01字段：index_01关联维度对象设置：用户，关联维度属性：为空，点击下一步
7. 查看特征类型
8. 查看聚合方式
9. 修改d1字段聚合方式：计数，选中指标目录，点击下一步
10. 点击下一步
11. 点击保存 并发布
12. 指标定义列表页面，点击history_自定义名称，查看指标详情
13. 指标定义列表页面，点击new_自定义_01名称，查看指标详情
14. 进入指标应用-自助取数-数据查询页面，选择指标：new_自定义_01名称，选择维度：用户/年龄，点击查询
15. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看history_自定义名称","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入自定义指标编辑页面
3. 跳转到设置维度信息页面
4. 设置成功，展示关联维度对象、关联维度属性字段，其中：关联维度对象、关联维度属性选填
5. 对应的关联维度对象/关联维度属性信息不清空，指标对接可设置，枚举值：新指标、当前项目下已创建的自定义指标列表
6. 跳转到设置指标信息页面
7. 字段d1展示标签，字段：index_01展示标签
8. index_01字段 枚举值不变，包括：
最大值 MAX()、最小值 MIN()、去重计数 COUNT( DISTINCT )、计数 COUNT()、平均数 AVG()、求和 SUM()、不聚合
d1字段 枚举值包含：计数、去重计数、不聚合，默认：不聚合
9. 跳转到设置调度信息步骤
10. 跳转到完成步骤，展示：新增指标：new_自定义_01，编辑指标：history_自定义
11. 指标编辑发布成功，指标定义列表页面展示：history_自定义指标特征类型：标签，new_自定义_01指标特征类型：标签
12. 基本信息-特征类型展示：标签，维度支持展示：用户/年龄、用户/性别、用户/消费城市
13. 基本信息-特征类型展示：标签，维度支持展示：用户/年龄、用户/性别、用户/消费城市
14. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误
15. 特征类型展示：标签，包括任务详情页面：特征类型展示标签",1,功能测试
161970,验证指标定义列表页面增加特征类型字段,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面
3. 查看历史原子/派生/复合/自定义指标-特征类型
4. 点击历史原子/派生/复合/自定义指标名称，查看详情
5. 根据特征类型筛选列表数据
6. 特征类型字段与其他筛选项（指标类型/发布状态/操作状态/联动更新状态）组合筛选","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 增加「特征类型」字段，支持过滤，筛选枚举值：指标、标签
3. 展示：指标
4. 基本属性-基本信息中，指标频度后增加特征类型字段，展示：指标
5. 筛选结果正确，内容与预期完全一致，无异常或错误
6. 筛选结果正确，内容与预期完全一致，无异常或错误",3,功能测试
161969,验证指标市场详情页面增加特征类型字段,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),无,"1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标市场-项目市场列表页面，点击历史指标名称
3. 查看历史原子/派生/复合/自定义指标-特征类型
4. 共享市场-指标详情","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入指标详情页面，在指标频度后增加特征类型字段
3. 展示：指标
4. 在指标频度后增加特征类型字段，历史原子/派生/复合/自定义指标-特征类型展示：指标",3,功能测试
161968,验证选择数值型字段新增-特征类型为标签的自定义指标--对接指标特征类型的指标,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT &#039;教师ID&#039;,
name               STRING       NOT NULL COMMENT &#039;教师姓名&#039;,
gender             STRING                   COMMENT &#039;性别&#039;,
age                INT                      COMMENT &#039;年龄&#039;,
department_id      BIGINT       NOT NULL COMMENT &#039;学院ID&#039;,
department_name    STRING       NOT NULL COMMENT &#039;学院名称&#039;,
title              STRING                   COMMENT &#039;职称，如讲师、副教授、教授&#039;,
hire_date          DATE                     COMMENT &#039;入职日期&#039;,
education_level    STRING                   COMMENT &#039;学历，如博士、硕士&#039;,
is_tenured         BOOLEAN                  COMMENT &#039;是否为终身教职&#039;,
update_time        varchar(20)       COMMENT &#039;最后更新时间&#039;
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_指标_01，特征类型：指标","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
3. 输入SQL：SELECT teacher_id, name, age, department_nameFROM teacher_tableWHERE title = '教授'点击下一步
4. 字段：teacher_id，字段描述：教师ID_标签，字段类型设置为：指标列（标签），关联维度对象：教师，关联维度属性：教师ID，指标对接：exist_指标_01；字段：name，字段描述：教师名称，关联维度对象：教师，关联维度属性：教师名称；字段：department_name，字段描述：学院名称，关联维度对象：教师，关联维度属性：学院名称；字段：age，字段描述：教师年龄_指标，指标对接：exist_指标_01；点击下一步
5. 修改字段：age 指标对接：新指标，点击下一步
6. 查看特征类型
7. 选择指标目录后，点击下一步
8. 选择即席查询，点击下一步
9. 点击保存并发布
10. 指标定义列表页面，点击 exist_指标_01 指标名称，查看指标详情
11. 点击教师年龄_指标 指标名称，查看指标详情
12. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看 exist_指标_01 指标信息","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入新增自定义指标页面
3. 跳转到设置维度信息步骤，其中：
teacher_id、age 字段类型默认展示：指标列（指标）
name、department_name 字段类型默认展示：维度列
4. 提示异常：对接指标重复
5. 跳转到设置指标信息步骤
6. teacher_id 字段特征类型为：标签；
age 字段 特征类型为：指标
7. 跳转到设置调度信息步骤
8. 跳转到完成步骤
9. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
10. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
11. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/教师名称，教师/学院名称,教师/教师id
12. 特征类型展示：标签，包括任务详情页面：特征类型展示标签",2,功能测试
161967,验证选择文本型字段新增-特征类型为标签的自定义指标--对接指标特征类型的指标,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT &#039;教师ID&#039;,
name               STRING       NOT NULL COMMENT &#039;教师姓名&#039;,
gender             STRING                   COMMENT &#039;性别&#039;,
age                INT                      COMMENT &#039;年龄&#039;,
department_id      BIGINT       NOT NULL COMMENT &#039;学院ID&#039;,
department_name    STRING       NOT NULL COMMENT &#039;学院名称&#039;,
title              STRING                   COMMENT &#039;职称，如讲师、副教授、教授&#039;,
hire_date          DATE                     COMMENT &#039;入职日期&#039;,
education_level    STRING                   COMMENT &#039;学历，如博士、硕士&#039;,
is_tenured         BOOLEAN                  COMMENT &#039;是否为终身教职&#039;,
update_time        varchar(20)       COMMENT &#039;最后更新时间&#039;
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_指标_02，特征类型：指标，聚合方式：平均数
4、存在派生指标：ps_01，维度列：教师/教师名称、教师/学院名称","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
3. 输入SQL：SELECT teacher_id, name, age, department_nameFROM teacher_tableWHERE title = '教授'点击下一步
4. 字段：teacher_id，字段描述：教师ID，字段类型设置为：维度列，关联维度对象：教师，关联维度属性：教师ID；字段：name，字段描述：教师名称_标签，字段类型设置为：指标列（标签），关联维度对象：教师，关联维度属性：教师名称，指标对接：exist_指标_02；字段：department_name，字段描述：学院名称，字段类型设置为：维度列，关联维度对象：教师，关联维度属性：学院名称；字段：age，字段描述：教师年龄_指标_02，指标对接：新指标；点击下一步
5. 查看特征类型
6. name字段选择聚合方式：去重计数，选择指标目录后，点击下一步
7. 选择落表查询，设置正确配置信息，点击下一步
8. 点击保存并发布
9. 指标定义列表页面，点击 exist_指标_02 指标名称，查看指标详情
10. 点击教师年龄_指标_02 指标名称，查看指标详情
11. 进入指标应用-自助取数-数据查询页面，选择指标：exist_指标_02 名称，选择维度：教师/教师名称，点击查询
12. 进入新建复合指标页面，公式：exist_指标_02 + ps_01，公共维度选择：教师/教师名称，教师/学院名称，保存并发布复合指标：Fuhe_01
13. 进入新建API页面，选择即席查询，选择指标：exist_指标_02 ，ps_01，Fuhe_01，入参维度选择：教师/教师名称，出参维度选择：教师/教师名称，教师/学院名称，保存并发布API
14. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看教师名称_标签 指标信息","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入新增自定义指标页面
3. 跳转到设置维度信息步骤，其中：
teacher_id、age 字段类型默认展示：指标列（指标）
name、department_name 字段类型默认展示：维度列
4. 跳转到设置指标信息步骤
5. name 字段特征类型为：标签；聚合方式内容展示为空，下拉框枚举值展示：计数、去重计数、不聚合
age 字段 特征类型为：指标；聚合方式展示：不聚合，枚举值展示：最大值 MAX()、最小值 MIN()、去重计数 COUNT( DISTINCT )、计数 COUNT()、平均数 AVG()、求和 SUM()、不聚合
6. 跳转到设置调度信息步骤
7. 跳转到完成步骤
8. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
10. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/教师ID，教师/教师名称，教师/学院名称
11. 查询结果正确，取数SQL展示正确（采用去重计数聚合函数）
12. 试计算结果正确，复合指标发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
13. API发布成功，API结果调用正确，内容与预期完全一致，无异常或错误
14. 特征类型展示：标签，包括任务详情页面：特征类型展示标签",1,功能测试
161966,验证新增-特征类型为指标的自定义指标--对接标签特征类型的指标,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、Doris数据源下，存在初始表数据：
CREATE TABLE teacher_table(
teacher_id         BIGINT       NOT NULL COMMENT &#039;教师ID&#039;,
name               STRING       NOT NULL COMMENT &#039;教师姓名&#039;,
gender             STRING                   COMMENT &#039;性别&#039;,
age                INT                      COMMENT &#039;年龄&#039;,
department_id      BIGINT       NOT NULL COMMENT &#039;学院ID&#039;,
department_name    STRING       NOT NULL COMMENT &#039;学院名称&#039;,
title              STRING                   COMMENT &#039;职称，如讲师、副教授、教授&#039;,
hire_date          DATE                     COMMENT &#039;入职日期&#039;,
education_level    STRING                   COMMENT &#039;学历，如博士、硕士&#039;,
is_tenured         BOOLEAN                  COMMENT &#039;是否为终身教职&#039;,
update_time        varchar(20)       COMMENT &#039;最后更新时间&#039;
)
DUPLICATE KEY(teacher_id)
DISTRIBUTED BY HASH(teacher_id) BUCKETS 1
PROPERTIES (
“replication_num“ = “1“
);
2、项目内存在维度对象：教师，教师维度对象下存在维度属性：教师ID、教师名称、学院名称；
3、项目内存在自定义指标：exist_标签_01，特征类型：标签，","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，点击新增指标-自定义指标
3. 输入SQL：SELECT department_name, COUNT(*) as teacher_countFROM teacher_table_varcharGROUP BY department_nameORDER BY teacher_count DESC;点击下一步
4. 字段：teacher_count，字段描述：教师总数_指标，字段类型设置为：指标列（指标），指标对接：exist_标签_01；字段：department_name，字段描述：学院名称，关联维度对象：教师，关联维度属性：学院名称；点击下一步
5. 查看特征类型
6. 选择指标目录后，点击下一步
7. 选择即席查询，点击下一步
8. 点击保存并发布
9. 指标定义列表页面，点击exist_标签_01 指标名称，查看指标详情
10. 登录数据资产平台，进入元数据-数据地图页面，选择资产类型：指标，查看 exist_标签_01 指标信息","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入新增自定义指标页面
3. 跳转到设置维度信息步骤，其中：
teacher_count 字段类型默认展示：指标列（指标）
department_name 字段类型默认展示：维度列
4. 跳转到设置指标信息步骤
5. teacher_count 字段特征类型为：指标
6. 跳转到设置调度信息步骤
7. 跳转到完成步骤
8. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
9. 基本属性-基本信息-特征类型展示：指标，技术信息-维度支持展示：教师/学院名称
10. 特征类型展示：指标，包括任务详情页面：特征类型展示指标",2,功能测试
161965,验证编辑-特征类型为标签的自定义指标-删除关联维度属性,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、当前项目下已创建特征类型=标签的自定义指标：教师ID_标签；指标列（标签）关联有维度对象（教师）/维度属性（教师ID）
维度组合1：教师/教师ID，教师/教师名称，教师/学院名称","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：教师ID_标签，点击编辑按钮，选择维度组合：教师/教师ID，教师/教师名称，教师/学院名称
3. 点击下一步
4. 选择字段：teacher_id，删除关联维度属性，其他信息不变化，完成步骤点击保存并发布
5. 指标定义列表页面，点击教师ID_标签 指标名称，查看指标详情
6. 进入指标应用-自助取数-数据查询页面，选择指标：教师ID_标签
7. 选择维度：教师/教师名称，点击查询","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入编辑自定义指标页面
3. 跳转到设置维度信息步骤
4. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持展示：教师/教师名称，教师/学院名称
6. 查看维度，不展示：教师/教师ID
7. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误",1,功能测试
161964,验证编辑-特征类型为标签的自定义指标-新增关联维度对象/维度属性,/迭代版本测试用例/V6.4.2/Gate-自定义指标/自定义指标支持定义特征类型(#9366),自定义指标支持定义特征类型(#14890),"1、当前项目下已创建特征类型=标签的自定义指标：教师ID_标签；指标列（标签）未关联维度对象/维度属性
维度组合1：教师/教师名称，教师/学院名称","1. 进入【迭代版本测试用例】-【V6.4.2】页面
2. 登录指标平台，进入具体项目下，切换到指标中心-指标定义列表页面，选择自定义指标：教师ID_标签，点击编辑按钮，选择维度组合：教师/教师名称，教师/学院名称
3. 点击下一步
4. 选择字段：teacher_id，新增关联维度对象：教师，关联维度属性：教师ID，其他信息不变化，完成步骤点击保存并发布
5. 指标定义列表页面，点击教师ID_标签 指标名称，查看指标详情
6. 进入指标应用-自助取数-数据查询页面，选择指标：教师ID_标签
7. 选择维度：教师/教师名称，教师/教师ID，教师/学院名称，点击查询","1. 成功进入【迭代版本测试用例】-【V6.4.2】页面，页面内容正常加载显示，无报错
2. 进入编辑自定义指标页面
3. 跳转到设置维度信息步骤
4. 自定义指标保存并发布成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 基本属性-基本信息-特征类型展示：标签，技术信息-维度支持新增：教师/教师ID
6. 查看维度，展示：教师/教师ID
7. 查询结果正确，取数SQL展示正确，内容与预期完全一致，无异常或错误",2,功能测试
